 ,Label,Area,Mean,X,Y
1,IMG_0610.jpg,0,125,638,644.750
2,IMG_0610.jpg,0,118,642.750,641.500
3,IMG_0610.jpg,0,116,647.750,641.500
4,IMG_0610.jpg,0,101,652,640.250
5,IMG_0610.jpg,0,150,651.750,635
6,IMG_0610.jpg,0,146,656.750,634.250
7,IMG_0610.jpg,0,144,661.500,632.250
8,IMG_0610.jpg,0,140,665.750,631.250
9,IMG_0610.jpg,0,119,668.750,630
10,IMG_0610.jpg,0,105,677.250,624
11,IMG_0610.jpg,0,142,681.500,620.250
12,IMG_0610.jpg,0,149,675.250,620.250
13,IMG_0610.jpg,0,160,671.500,620.250
14,IMG_0610.jpg,0,143,584.500,643
15,IMG_0610.jpg,0,150,586.750,650.750
16,IMG_0610.jpg,0,133,588.500,656.250
17,IMG_0610.jpg,0,136,591,662
18,IMG_0610.jpg,0,142,594.750,672.750
19,IMG_0610.jpg,0,143,598.500,661.500
20,IMG_0610.jpg,0,153,598,657.500
21,IMG_0610.jpg,0,106,595,652.750
22,IMG_0610.jpg,0,98,594.500,648
23,IMG_0610.jpg,0,101,591.750,642.500
24,IMG_0610.jpg,0,104,591.250,637
25,IMG_0610.jpg,0,91,589.750,634.750
26,IMG_0610.jpg,0,127,586.750,633.500
27,IMG_0610.jpg,0,113,587.250,639
28,IMG_0610.jpg,0,144,498.250,703.250
29,IMG_0610.jpg,0,93,495.500,706.750
30,IMG_0610.jpg,0,103,493.250,714.250
31,IMG_0610.jpg,0,105,488.500,722.250
32,IMG_0610.jpg,0,117,485,727.500
33,IMG_0610.jpg,0,121,488.250,726.500
34,IMG_0610.jpg,0,162,493.250,721.250
35,IMG_0610.jpg,0,150,488.250,700.750
36,IMG_0610.jpg,0,134,490.750,697.750
37,IMG_0610.jpg,0,118,495,693
38,IMG_0610.jpg,0,124,496.750,692
39,IMG_0610.jpg,0,159,501.250,687.250
40,IMG_0610.jpg,0,162,503.750,685.250
41,IMG_0610.jpg,0,115,311.750,562.250
42,IMG_0610.jpg,0,92,312.250,569.500
43,IMG_0610.jpg,0,98,313,578.750
44,IMG_0610.jpg,0,130,313.750,584.750
45,IMG_0610.jpg,0,103,314.500,590.750
