 ,Label,Area,Mean,X,Y
1,IMG_0610.jpg,0,90,318.625,214.625
2,IMG_0610.jpg,0,99,520.375,420.625
3,IMG_0610.jpg,0,86,520.375,416.375
4,IMG_0610.jpg,0,107,521.750,413.500
5,IMG_0610.jpg,0,109,523.625,413.375
6,IMG_0610.jpg,0,103,526.875,413.875
7,IMG_0610.jpg,0,59,533.750,407.375
8,IMG_0610.jpg,0,52,534.625,404.500
9,IMG_0610.jpg,0,86,535.625,404.125
10,IMG_0610.jpg,0,117,540.125,402.625
11,IMG_0610.jpg,0,104,543.250,401.250
12,IMG_0610.jpg,0,75,548.125,401.500
13,IMG_0610.jpg,0,66,554,397.125
14,IMG_0610.jpg,0,53,555.625,394.625
15,IMG_0610.jpg,0,58,558.250,393.125
16,IMG_0610.jpg,0,44,560.875,391.500
17,IMG_0610.jpg,0,45,561.250,390.625
18,IMG_0610.jpg,0,77,564.875,391
19,IMG_0610.jpg,0,95,567.375,392.250
20,IMG_0610.jpg,0,109,566.125,394
21,IMG_0610.jpg,0,102,564.625,395.375
22,IMG_0610.jpg,0,103,554.750,400.125
23,IMG_0610.jpg,0,90,546.625,406.875
24,IMG_0610.jpg,0,81,782.250,475.875
25,IMG_0610.jpg,0,72,786,477.250
26,IMG_0610.jpg,0,79,788.750,479.625
27,IMG_0610.jpg,0,80,791.375,480.625
28,IMG_0610.jpg,0,78,794.625,482.875
29,IMG_0610.jpg,0,70,798.875,484.750
30,IMG_0610.jpg,0,63,803.250,487.125
31,IMG_0610.jpg,0,75,807,489.875
32,IMG_0610.jpg,0,99,821.875,469.125
33,IMG_0610.jpg,0,89,824.250,464.750
34,IMG_0610.jpg,0,84,827.250,463
35,IMG_0610.jpg,0,84,829.625,466.500
36,IMG_0610.jpg,0,73,830,470.625
37,IMG_0610.jpg,0,78,947.750,402.875
38,IMG_0610.jpg,0,75,947.500,400
39,IMG_0610.jpg,0,65,947.875,398
40,IMG_0610.jpg,0,80,950.375,399.500
41,IMG_0610.jpg,0,96,950.625,404
42,IMG_0610.jpg,0,94,971.250,403.500
43,IMG_0610.jpg,0,83,981.125,403.750
44,IMG_0610.jpg,0,59,991.375,390.875
45,IMG_0610.jpg,0,64,991.375,388.250
46,IMG_0610.jpg,0,83,992.375,384.500
47,IMG_0610.jpg,0,93,1018,402
48,IMG_0610.jpg,0,85,1021.625,404.750
49,IMG_0610.jpg,0,90,1027.750,407.750
50,IMG_0610.jpg,0,92,1031.625,408.375
51,IMG_0610.jpg,0,44,1078.125,427.250
52,IMG_0610.jpg,0,65,1076.875,424.750
53,IMG_0610.jpg,0,89,1079.500,422.625
54,IMG_0610.jpg,0,80,1083.500,422
55,IMG_0610.jpg,0,46,1095.125,405
56,IMG_0610.jpg,0,38,1091,397.750
57,IMG_0610.jpg,0,37,1089.500,395
58,IMG_0610.jpg,0,35,1088.375,393.500
59,IMG_0610.jpg,0,39,1087.625,391.625
60,IMG_0610.jpg,0,38,1086.125,390.500
61,IMG_0610.jpg,0,71,1122.375,440.875
62,IMG_0610.jpg,0,59,1122.375,445.875
63,IMG_0610.jpg,0,56,1122.375,451.125
64,IMG_0610.jpg,0,63,1122.500,455.500
65,IMG_0610.jpg,0,65,1123.250,458.875
66,IMG_0610.jpg,0,52,598.375,879.500
67,IMG_0610.jpg,0,81,602.375,877.250
68,IMG_0610.jpg,0,100,604.375,878.125
69,IMG_0610.jpg,0,122,607.625,877.375
70,IMG_0610.jpg,0,83,612.125,875
71,IMG_0610.jpg,0,66,615.875,870.875
72,IMG_0610.jpg,0,53,615.625,864.500
73,IMG_0610.jpg,0,93,616.375,859.125
74,IMG_0610.jpg,0,89,575.750,873.500
75,IMG_0610.jpg,0,89,584.875,903.750
76,IMG_0610.jpg,0,54,584.875,901.750
77,IMG_0610.jpg,0,34,615.625,891.875
78,IMG_0610.jpg,0,106,614,894.875
79,IMG_0610.jpg,0,32,637.375,880.625
80,IMG_0610.jpg,0,51,637.250,884.500
81,IMG_0610.jpg,0,71,625.625,922.250
82,IMG_0610.jpg,0,94,627.750,925.500
83,IMG_0610.jpg,0,96,630.375,929.375
84,IMG_0610.jpg,0,97,631.125,935.250
85,IMG_0610.jpg,0,59,586.375,910.375
86,IMG_0610.jpg,0,57,587.625,916.750
87,IMG_0610.jpg,0,57,587.625,920.625
88,IMG_0610.jpg,0,47,587.750,924.500
89,IMG_0610.jpg,0,59,145.375,792.250
90,IMG_0610.jpg,0,67,146.375,795.375
91,IMG_0610.jpg,0,117,149.250,797.125
92,IMG_0610.jpg,0,123,148.375,795.750
93,IMG_0610.jpg,0,28,143.375,769.125
94,IMG_0610.jpg,0,28,143.625,767.500
95,IMG_0610.jpg,0,48,160.625,737.750
96,IMG_0610.jpg,0,43,159.625,736.500
97,IMG_0610.jpg,0,44,302.500,595.375
98,IMG_0610.jpg,0,44,301,591.875
99,IMG_0610.jpg,0,58,301.375,588.500
100,Red,0,75,301,584.750
101,IMG_0610.jpg,0,126,318.625,214.625
102,IMG_0610.jpg,0,99,520.375,420.625
103,IMG_0610.jpg,0,89,520.375,416.375
104,IMG_0610.jpg,0,107,521.750,413.500
105,IMG_0610.jpg,0,118,523.625,413.375
106,IMG_0610.jpg,0,113,526.875,413.875
107,IMG_0610.jpg,0,70,533.750,407.375
108,IMG_0610.jpg,0,62,534.625,404.500
109,IMG_0610.jpg,0,99,535.625,404.125
110,IMG_0610.jpg,0,127,540.125,402.625
111,IMG_0610.jpg,0,126,543.250,401.250
112,IMG_0610.jpg,0,106,548.125,401.500
113,IMG_0610.jpg,0,72,554,397.125
114,IMG_0610.jpg,0,60,555.625,394.625
115,IMG_0610.jpg,0,81,558.250,393.125
116,IMG_0610.jpg,0,65,560.875,391.500
117,IMG_0610.jpg,0,68,561.250,390.625
